iter	Passed	Remaining
675	63471	30421
676	63600	30344
677	63745	30274
678	63908	30212
679	63981	30108
680	64069	30012
681	64151	29912
682	64248	29819
683	64378	29742
684	64481	29652
685	64608	29573
686	64759	29504
687	64887	29425
688	65007	29343
689	65142	29266
690	65349	29222
691	65462	29136
692	65559	29042
693	65687	28962
694	65805	28878
695	65912	28789
696	66036	28707
697	66130	28612
698	66291	28546
699	66377	28447
700	66478	28355
701	66595	28269
702	66679	28170
703	66795	28084
704	66906	27996
705	67038	27916
706	67138	27823
707	67232	27728
708	67356	27645
709	67449	27549
710	67543	27454
711	67664	27370
712	67759	27274
713	67842	27175
714	67922	27073
715	68007	26974
716	68125	26889
717	68204	26788
718	68294	26690
719	68375	26590
720	68465	26493
721	68562	26399
722	68656	26304
723	68756	26210
724	68848	26114
725	68931	26015
726	69023	25919
727	69105	25819
728	69172	25714
729	69257	25615
730	69343	25517
731	69422	25417
732	69521	25323
733	69616	25228
734	69708	25133
735	69819	25043
736	69938	24957
737	70031	24862
738	70123	24766
739	70200	24665
740	70314	24576
741	70425	24487
742	70520	24392
743	70598	24291
744	70702	24200
745	70799	24106
746	70888	24009
747	71032	23930
748	71134	23838
749	71212	23737
750	71333	23651
751	71472	23570
752	71561	23473
753	71640	23373
754	71720	23273
755	71801	23174
756	71877	23072
757	71996	22985
758	72086	22889
759	72172	22791
760	72258	22693
761	72338	22593
762	72421	22495
763	72514	22399
764	72596	22300
765	72702	22209
766	72788	22111
767	72891	22019
768	72963	21917
769	73052	21820
770	73146	21725
771	73224	21626
772	73319	21530
773	73417	21437
774	73524	21345
775	73614	21249
776	73704	21153
777	73808	21060
778	73893	20963
779	74012	20875
780	74090	20775
781	74165	20675
782	74282	20586
783	74372	20490
784	74471	20396
785	74562	20300
786	74644	20202
787	74732	20105
788	74860	20019
789	74936	19919
790	75071	19835
791	75161	19739
792	75241	19640
793	75340	19546
794	75478	19463
795	75570	19367
796	75659	19270
797	75749	19174
798	75829	19076
799	75919	18979
800	76005	18882
801	76107	18789
802	76216	18698
803	76298	18600
804	76391	18504
805	76501	18413
806	76645	18330
807	76772	18242
808	76861	18146
809	76981	18057
810	77067	17960
811	77179	17869
812	77289	17777
813	77396	17685
814	77541	17601
815	77683	17516
816	77801	17426
817	77959	17345
818	78076	17255
819	78170	17159
820	78307	17073
821	78416	16980
822	78510	16885
823	78611	16790
824	78706	16695
825	78807	16601
826	78944	16514
827	79041	16419
828	79149	16326
829	79271	16236
830	79369	16141
831	79457	16044
832	79573	15952
833	79643	15852
834	79727	15754
835	79825	15659
836	79913	15562
837	80017	15468
838	80099	15370
839	80191	15274
840	80274	15176
841	80367	15080
842	80469	14986
843	80612	14899
844	80791	14819
845	80890	14724
846	80984	14628
847	81088	14534
848	81187	14439
849	81357	14357
850	81437	14258
851	81539	14164
852	81637	14068
853	81751	13976
854	81913	13891
855	82027	13799
856	82136	13705
857	82248	13612
858	82372	13520
859	82473	13425
860	82614	13337
861	82714	13242
862	82848	13152
863	82949	13056
864	83040	12960
865	83185	12871
866	83291	12777
867	83404	12683
868	83501	12587
869	83624	12495
870	83734	12401
871	83835	12306
872	83952	12213
873	84064	12119
874	84162	12023
875	84267	11928
876	84355	11830
877	84452	11734
878	84547	11638
879	84636	11541
880	84745	11446
881	84840	11350
882	84934	11254
883	85037	11158
884	85148	11064
885	85247	10968
886	85359	10874
887	85467	10779
888	85572	10684
889	85684	10590
890	85807	10497
891	85928	10403
892	86054	10311
893	86162	10216
894	86260	10119
895	86360	10023
896	86459	9927
897	86564	9832
898	86670	9737
899	86766	9640
900	86858	9543
901	87068	9459
902	87190	9366
903	87298	9270
904	87416	9176
905	87506	9078
906	87605	8982
907	87705	8886
908	87862	8795
909	87985	8701
910	88111	8608
911	88192	8509
912	88281	8412
913	88386	8316
914	88494	8220
915	88617	8126
916	88740	8032
917	88825	7934
918	88915	7836
919	89016	7740
920	89111	7643
921	89266	7551
922	89369	7455
923	89454	7357
924	89551	7260
925	89649	7164
926	89770	7069
927	89877	6973
928	89971	6876
929	90087	6780
930	90195	6684
931	90293	6587
932	90398	6491
933	90480	6393
934	90629	6300
935	90746	6204
936	90904	6112
937	91023	6016
938	91120	5919
939	91286	5826
940	91416	5731
941	91509	5634
942	91636	5538
943	91790	5445
944	91914	5349
945	92086	5256
946	92177	5158
947	92296	5062
948	92430	4967
949	92552	4871
950	92676	4775
951	92771	4677
952	92874	4580
953	92977	4483
954	93100	4386
955	93232	4291
956	93336	4193
957	93446	4096
958	93559	3999
959	93675	3903
960	93789	3806
961	93887	3708
962	93988	3611
963	94088	3513
964	94183	3415
965	94280	3318
966	94388	3221
967	94513	3124
968	94649	3028
969	94728	2929
970	94886	2833
971	95005	2736
972	95147	2640
973	95264	2543
974	95372	2445
975	95455	2347
976	95545	2249
977	95627	2151
978	95735	2053
979	95839	1955
980	96016	1859
981	96128	1762
982	96278	1665
983	96389	1567
984	96509	1469
985	96626	1371
986	96729	1274
987	96816	1175
988	96908	1077
989	96998	979
990	97105	881
991	97216	784
992	97308	685
993	97413	588
994	97499	489
995	97605	391
996	97716	294
997	97841	196
998	97963	98
999	98083	0
